year,month,1-gram,count,date
2017,6,israel,4,2017-06-01
2021,5,aid,131,2021-05-01
2021,5,attack,140,2021-05-01
2021,5,blockade,41,2021-05-01
2021,5,casualties,33,2021-05-01
2021,5,ceasefire,409,2021-05-01
2021,5,children,421,2021-05-01
2021,5,genocide,12,2021-05-01
2021,5,humanitarian,139,2021-05-01
2021,5,israel,1848,2021-05-01
2021,5,killed,429,2021-05-01
2021,6,aid,70,2021-06-01
2021,6,attack,18,2021-06-01
2021,6,blockade,14,2021-06-01
2021,6,casualties,4,2021-06-01
2021,6,ceasefire,42,2021-06-01
2021,6,children,105,2021-06-01
2021,6,genocide,5,2021-06-01
2021,6,humanitarian,27,2021-06-01
2021,6,israel,704,2021-06-01
2021,6,killed,92,2021-06-01
2021,7,aid,11,2021-07-01
2021,7,attack,8,2021-07-01
2021,7,blockade,5,2021-07-01
2021,7,casualties,2,2021-07-01
2021,7,ceasefire,15,2021-07-01
2021,7,children,25,2021-07-01
2021,7,genocide,1,2021-07-01
2021,7,humanitarian,11,2021-07-01
2021,7,israel,285,2021-07-01
2021,7,killed,35,2021-07-01
2021,8,aid,14,2021-08-01
2021,8,attack,20,2021-08-01
2021,8,blockade,43,2021-08-01
2021,8,casualties,4,2021-08-01
2021,8,ceasefire,14,2021-08-01
2021,8,children,58,2021-08-01
2021,8,humanitarian,3,2021-08-01
2021,8,israel,244,2021-08-01
2021,8,killed,41,2021-08-01
2021,9,aid,21,2021-09-01
2021,9,attack,15,2021-09-01
2021,9,blockade,20,2021-09-01
2021,9,ceasefire,7,2021-09-01
2021,9,children,42,2021-09-01
2021,9,humanitarian,5,2021-09-01
2021,9,israel,221,2021-09-01
2021,9,killed,29,2021-09-01
2021,10,aid,7,2021-10-01
2021,10,attack,10,2021-10-01
2021,10,blockade,3,2021-10-01
2021,10,casualties,3,2021-10-01
2021,10,children,34,2021-10-01
2021,10,humanitarian,12,2021-10-01
2021,10,israel,159,2021-10-01
2021,10,killed,11,2021-10-01
2021,11,aid,9,2021-11-01
2021,11,attack,6,2021-11-01
2021,11,blockade,1,2021-11-01
2021,11,ceasefire,1,2021-11-01
2021,11,children,8,2021-11-01
2021,11,humanitarian,2,2021-11-01
2021,11,israel,136,2021-11-01
2021,11,killed,14,2021-11-01
2021,12,aid,4,2021-12-01
2021,12,attack,4,2021-12-01
2021,12,blockade,5,2021-12-01
2021,12,ceasefire,4,2021-12-01
2021,12,children,21,2021-12-01
2021,12,humanitarian,5,2021-12-01
2021,12,israel,149,2021-12-01
2021,12,killed,19,2021-12-01
2022,1,aid,4,2022-01-01
2022,1,attack,2,2022-01-01
2022,1,children,20,2022-01-01
2022,1,genocide,1,2022-01-01
2022,1,humanitarian,4,2022-01-01
2022,1,israel,69,2022-01-01
2022,1,killed,5,2022-01-01
2022,2,aid,1,2022-02-01
2022,2,attack,2,2022-02-01
2022,2,blockade,1,2022-02-01
2022,2,children,3,2022-02-01
2022,2,humanitarian,1,2022-02-01
2022,2,israel,76,2022-02-01
2022,2,killed,13,2022-02-01
2022,3,aid,4,2022-03-01
2022,3,attack,23,2022-03-01
2022,3,blockade,1,2022-03-01
2022,3,casualties,1,2022-03-01
2022,3,children,5,2022-03-01
2022,3,humanitarian,1,2022-03-01
2022,3,israel,154,2022-03-01
2022,3,killed,24,2022-03-01
2022,4,aid,2,2022-04-01
2022,4,attack,41,2022-04-01
2022,4,blockade,3,2022-04-01
2022,4,casualties,6,2022-04-01
2022,4,ceasefire,2,2022-04-01
2022,4,children,43,2022-04-01
2022,4,humanitarian,1,2022-04-01
2022,4,israel,299,2022-04-01
2022,4,killed,100,2022-04-01
2022,5,aid,46,2022-05-01
2022,5,attack,82,2022-05-01
2022,5,blockade,3,2022-05-01
2022,5,children,27,2022-05-01
2022,5,genocide,2,2022-05-01
2022,5,humanitarian,13,2022-05-01
2022,5,israel,532,2022-05-01
2022,5,killed,219,2022-05-01
2022,6,aid,4,2022-06-01
2022,6,attack,19,2022-06-01
2022,6,blockade,23,2022-06-01
2022,6,casualties,1,2022-06-01
2022,6,children,29,2022-06-01
2022,6,humanitarian,4,2022-06-01
2022,6,israel,255,2022-06-01
2022,6,killed,90,2022-06-01
2022,7,aid,12,2022-07-01
2022,7,attack,6,2022-07-01
2022,7,blockade,4,2022-07-01
2022,7,casualties,2,2022-07-01
2022,7,children,10,2022-07-01
2022,7,humanitarian,11,2022-07-01
2022,7,israel,307,2022-07-01
2022,7,killed,87,2022-07-01
2022,8,aid,9,2022-08-01
2022,8,attack,64,2022-08-01
2022,8,blockade,17,2022-08-01
2022,8,casualties,15,2022-08-01
2022,8,ceasefire,30,2022-08-01
2022,8,children,124,2022-08-01
2022,8,genocide,1,2022-08-01
2022,8,humanitarian,16,2022-08-01
2022,8,israel,429,2022-08-01
2022,8,killed,163,2022-08-01
2022,9,aid,10,2022-09-01
2022,9,attack,17,2022-09-01
2022,9,blockade,3,2022-09-01
2022,9,casualties,1,2022-09-01
2022,9,ceasefire,1,2022-09-01
2022,9,children,24,2022-09-01
2022,9,genocide,1,2022-09-01
2022,9,humanitarian,1,2022-09-01
2022,9,israel,278,2022-09-01
2022,9,killed,151,2022-09-01
2022,10,aid,2,2022-10-01
2022,10,attack,24,2022-10-01
2022,10,blockade,9,2022-10-01
2022,10,children,10,2022-10-01
2022,10,humanitarian,1,2022-10-01
2022,10,israel,138,2022-10-01
2022,10,killed,87,2022-10-01
2022,11,aid,4,2022-11-01
2022,11,attack,20,2022-11-01
2022,11,blockade,4,2022-11-01
2022,11,children,22,2022-11-01
2022,11,israel,185,2022-11-01
