year,month,1-gram,count,date
2023,10,aid,508,2023-10-01
2023,10,attack,861,2023-10-01
2023,10,blockade,180,2023-10-01
2023,10,casualties,84,2023-10-01
2023,10,ceasefire,215,2023-10-01
2023,10,children,632,2023-10-01
2023,10,genocide,58,2023-10-01
2023,10,humanitarian,558,2023-10-01
2023,10,israel,4679,2023-10-01
2023,10,killed,1092,2023-10-01
2023,11,aid,415,2023-11-01
2023,11,attack,602,2023-11-01
2023,11,blockade,80,2023-11-01
2023,11,casualties,98,2023-11-01
2023,11,ceasefire,511,2023-11-01
2023,11,children,871,2023-11-01
2023,11,genocide,218,2023-11-01
2023,11,humanitarian,625,2023-11-01
2023,11,israel,4582,2023-11-01
2023,11,killed,1022,2023-11-01
2023,12,aid,371,2023-12-01
2023,12,attack,370,2023-12-01
2023,12,blockade,28,2023-12-01
2023,12,casualties,91,2023-12-01
2023,12,ceasefire,375,2023-12-01
2023,12,children,411,2023-12-01
2023,12,genocide,170,2023-12-01
2023,12,humanitarian,410,2023-12-01
2023,12,israel,2603,2023-12-01
2023,12,killed,834,2023-12-01
2024,1,aid,206,2024-01-01
2024,1,attack,334,2024-01-01
2024,1,blockade,26,2024-01-01
2024,1,casualties,43,2024-01-01
2024,1,ceasefire,209,2024-01-01
2024,1,children,190,2024-01-01
2024,1,genocide,405,2024-01-01
2024,1,humanitarian,200,2024-01-01
2024,1,israel,2218,2024-01-01
2024,1,killed,506,2024-01-01
2024,2,aid,307,2024-02-01
2024,2,attack,284,2024-02-01
2024,2,blockade,22,2024-02-01
2024,2,casualties,39,2024-02-01
2024,2,ceasefire,236,2024-02-01
2024,2,children,304,2024-02-01
2024,2,genocide,260,2024-02-01
2024,2,humanitarian,256,2024-02-01
2024,2,israel,2057,2024-02-01
2024,2,killed,478,2024-02-01
2024,3,aid,638,2024-03-01
2024,3,attack,242,2024-03-01
2024,3,blockade,30,2024-03-01
2024,3,casualties,31,2024-03-01
2024,3,ceasefire,370,2024-03-01
2024,3,children,307,2024-03-01
2024,3,genocide,234,2024-03-01
2024,3,humanitarian,380,2024-03-01
2024,3,israel,2146,2024-03-01
2024,3,killed,414,2024-03-01
2024,4,aid,256,2024-04-01
2024,4,attack,385,2024-04-01
2024,4,blockade,9,2024-04-01
2024,4,casualties,13,2024-04-01
2024,4,ceasefire,88,2024-04-01
2024,4,children,129,2024-04-01
2024,4,genocide,107,2024-04-01
2024,4,humanitarian,143,2024-04-01
2024,4,israel,1504,2024-04-01
2024,4,killed,316,2024-04-01
